Die Wysoka Kopa ist ein einseins26 m hoher Berg im schlesischen Teil des Isergebirges in Polen.	95
Die Wysoka Kopa ist der höchste Berg des Isergebirges.	54
Der Fluss Queis entspringt in mehreren Quellbächen am Hohen Iserkamm am Nordosthang der Wysoka Kopa.	100
Juan Carlos Blanco, vollständiger Name Juan Carlos Blanco Peñalba, ist ein ehemaliger uruguayischer Fußballspieler und Trainer.	127
März 1966 in Reihen von Nacional Montevideo in einem Freundschaftsspiel als rechter Verteidiger gegen La Luz.	109
Von 1967 bis 1973 spielte er für Nacional in der Primera División.	66
In den Spielzeiten 1969, 1970 und 1971 gewann sein Verein die Uruguayische Meisterschaft.	89
1971 siegte man überdies in der Copa Libertadores.	50
Blanco wirkte in allen drei Finalspielen gegen Estudiantes de La Plata von Beginn an mit.	89
mber desselben Jahres setzte er sich mit seinem Klub als Spieler der Startaufstellung letztlich in beiden Spielen gegen Panathinaikos Athen um den Weltpokal des Jahres 1971 durch und holte diesen Titel.	202
Auch im Rückspiel um die Copa Interamericana 1972 gegen CD Cruz Azul trug er mit einem Einsatz in der Startelf zum Triumph in diesem Wettbewerb bei.	148
Diese Liste der Gastdarsteller von In aller Freundschaft enthält eine bisher noch unvollständige Aufzählung der Gastdarsteller der deutschen Fernsehserie In aller Freundschaft.	176
Burg Widdern war eine Spornburg in Widdern im Landkreis Heilbronn im nördlichen Baden-Württemberg.	98
Die Burg wurde 1458 zerstört.	29
Außer dem Halsgraben sind nur wenige Steinfragmente erhalten.	61
Die Burg lag nordöstlich über der Stadt auf dem aufwärtigen Bergsporn zwischen dem Tal der Jagst und dem zumündenden Kessachtal, etwa 50 Meter über dem Dorf noch am unteren Hang.	178
1219 an die Herren von Dürn kam.	32
Jahrhunderts an die Herren von Wertheim und die mit ihnen verwandten Herren von Boxberg.	88
Jahrhunderts zur Stadt gewordenen Ortes.	40
Saison, welche vom dänischen Fußballverband Dansk Boldspil Union ausgetragen wurde.	83
Zwölf Teams spielten in der Liga in einer einfachen Hin- und Rückrunde gegeneinander, so dass jedes Team 22 Spiele absolvierte.	127
Der Tabellenführende nach Saisonende war dänischer Meister.	59
Juli 2007 gab es 548 National Wildlife Refuges in den Vereinigten Staaten.	74
Refuges mit Anteilen in mehreren Bundesstaaten werden nur in den Staaten gelistet, in denen sich der Haupteingang für Besucher befindet.	136
Das jüngste Refuge ist das Rocky Flats National Wildlife Refuge in Colorado.	76
fe RefugeCedar Keys National Wildlife RefugeMerritt Island National Wildlife RefugeArchie Carr National Wildlife RefugeLake Wales Ridge National Wildlife RefugePelican Island National Wildlife RefugeSt.	202
National Wildlife RefugeNational Key Deer RefugeCrocodile Lake National Wildlife RefugeGreat White Heron National Wildlife RefugeKey West National Wildlife RefugeOkefenokee National Wildlife Refuge St.	201
Marks National Wildlife RefugeSt.	33
National Wildlife RefugeGrand Bay National Wildlife RefugeMississippi Wetlands Management DistrictDahomey National Wildlife RefugeTallahatchie National Wildlife RefugeNoxubee National Wildlife RefugeSt.	202
ver National Wildlife RefugeGravel Island National Wildlife RefugeGreen Bay National Wildlife RefugeHoricon National Wildlife RefugeLeopold Wetland Management DistrictNecedah National Wildlife RefugeSt.	202
Gerhard Jungfer war ein deutscher Rechtsanwalt und Strafverteidiger.	68
Er trat in verschiedenen großen deutschen Strafprozessen auf, unter anderem als Verteidiger von Erich Mielke.	109
Er beschäftigte sich zudem mit berufs- und rechtspolitischen Fragen der Anwaltschaft, insbesondere der Strafverteidigung in Geschichte und Gegenwart.	149
Jungfer war Gründungsmitglied der Arbeitsgemeinschaft Strafrecht des Deutschen Anwaltvereins.	93
Er unterhielt seine Kanzlei in Berlin.	38
Die Rechtsprechung zum Strafverfahrensrecht.	44
Er amtierte von 1967 bis 1991, als er sich aufgrund einer unheilbaren Erkrankung von seinem Amt zurückzog.	106
2017 wurde sein Leben und Wirken zum Gegenstand des Films Marshall.	67
Sein Anwaltsdiplom bekam er von der Howard University 1933 verliehen.	69
Daraufhin eröffnete er eine private Rechtsanwaltskanzlei in Baltimore.	70
Bereits im folgenden Jahr arbeitete er für die Bürgerrechtsbewegung.	68
David Izenzon war ein US-amerikanischer Jazz-Bassist.	53
Izenzon begann Mitte der 1950er Jahre mit dem Bassspiel.	56
Nachdem er mit regionalen Bands seiner Heimatstadt gespielt hatte, ging er 1961 nach New York.	94
Hier trat er mit Paul Bley, Archie Shepp, Sonny Rollins und Bill Dixon auf und trat dem Trio von Ornette Coleman bei.	117
Die Aufnahme von dessen Town-Hall-Konzert ist die erste erhaltene Einspielung mit Izenzon.	90
Zentrales Produkt seiner zunächst bis 1968 dauernden Zusammenarbeit mit Coleman waren die beiden At the Golden Circle Stockholm-Alben von 1965 mit Charles Moffett Sr.	166
als Schlagzeuger.	17
Aus dieser Zeit stammen auch Aufnahmen mit Harold McNair, mit Joseph Scianni und mit Yoko Ono.	94
Mai 1389 errichtet und in der zweiten Woche nach Ostern 1392 offiziell eröffnet.	80
Die Universität Erfurt ist durch die auf Antrag der Erfurter Bürgerschaft erteilte Gründungsurkunde somit die älteste Universität Deutschlands.	143
Jahrhundert zurückreichenden Generalstudium weist die Hierana bis zu ihrer Schließung 1816 zudem die längste Hochschultradition in Deutschland auf.	147
Nach der deutschen Wiedervereinigung erfolgte 1994 die Neugründung als Universität.	83
Die zu DDR-Zeiten begründete Pädagogische Hochschule Erfurt sowie weitere Einrichtungen gingen in der wiedererrichteten Universität auf.	136
Ausgeschlossen davon wurde die bis 1993 existierende Medizinische Hochschule Erfurt.	84
Heute ist die Universität Erfurt eine von vier Universitäten im Freistaat Thüringen.	84
der zweitgrößte Studiengang, Erziehungswissenschaften, stammt ebenfalls aus der Erziehungswissenschaftlichen Fakultät.	118
war ein deutscher Jesuit und ein erfolgreicher Erbauungsschriftsteller der Gegenreformation.	92
Jeremias Drexel entstammt einer Augsburger Familie von Lutheranern, konvertierte jedoch schon in der Jugend zum katholischen Glauben.	133
Bis zum Jahr 1595 besuchte er das Augsburger Jesuitengymnasium, und 1598 wurde er in den Jesuitenorden aufgenommen.	115
